"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001081000,NA,-21.8844,6.07816,224.058,101960,NA,NA
202001081030,-12.7065,-24.7451,5.96589,220.421,101976,NA,NA
202001081100,-12.3844,-18.6771,5.49546,217.958,101985,NA,NA
202001081130,NA,NA,5.61421,228.603,101987,NA,NA
202001081200,NA,NA,4.973,219.712,101990,NA,NA
202001081230,NA,NA,4.8531,227.469,102011,NA,NA
202001081300,NA,NA,4.26898,228.002,102028,NA,NA
202001081330,NA,NA,3.80773,223.206,102015,NA,NA
202001081400,NA,NA,3.83298,221.061,102012,NA,NA
202001081430,-15.4082,-33.045,4.33814,238.879,102050,NA,NA
202001081500,-8.18392,-21.108,4.15244,245.365,102096,NA,NA
202001081530,NA,NA,2.28177,201.84,102114,NA,NA
202001081600,NA,NA,3.65022,234.519,102145,NA,NA
202001081630,-7.83722,-16.4431,3.93329,241.974,102157,NA,NA
202001081700,NA,-23.7083,3.70697,237.285,102160,NA,NA
202001081730,NA,NA,3.14673,226.676,102157,NA,NA
202001081800,NA,NA,3.51762,223.236,102170,NA,NA
202001081830,NA,NA,2.86129,222.633,102192,NA,NA
202001081900,NA,NA,2.88862,224.175,102176,NA,NA
202001081930,NA,NA,3.67765,215.314,102167,NA,NA
202001082000,NA,NA,3.62085,214.011,102138,NA,NA
202001082030,NA,NA,3.19338,220.892,102129,NA,NA
202001082100,NA,NA,2.28506,222.593,102109,NA,NA
202001082130,NA,NA,1.76673,213.406,102096,NA,NA
202001082200,NA,NA,2.32083,221.084,102091,NA,NA
202001082230,NA,NA,1.5897,202,102085,NA,NA
202001082300,NA,NA,1.88142,191.728,102051,NA,NA
202001082330,NA,NA,2.68054,156.736,101994,NA,NA
202001090000,NA,NA,2.36363,157.026,101942,NA,NA
202001090030,NA,NA,2.30837,138.578,101870,NA,NA
202001090100,NA,NA,2.71506,146.487,101824,NA,NA
202001090130,NA,NA,2.97028,144.345,101760,NA,NA
202001090200,NA,NA,3.14989,151.521,101742,NA,NA
202001090230,NA,NA,3.20872,145.178,101687,NA,NA
202001090300,NA,NA,4.03188,144.812,101598,NA,NA
202001090330,NA,NA,3.76926,135.054,101501,NA,NA
202001090400,NA,NA,4.49929,132.572,101398,NA,NA
202001090430,NA,NA,4.55222,129.843,101313,NA,NA
202001090500,NA,NA,NA,NA,NA,NA,NA
202001090530,NA,NA,NA,NA,NA,NA,NA
202001090600,NA,NA,NA,NA,NA,NA,NA
202001090630,NA,NA,NA,NA,NA,NA,NA
202001090700,NA,NA,NA,NA,NA,NA,NA
202001090730,NA,NA,NA,NA,NA,NA,NA
202001090800,NA,NA,NA,NA,NA,NA,NA
202001090830,NA,NA,NA,NA,NA,NA,NA
202001090900,NA,NA,NA,NA,NA,NA,NA
202001090930,NA,NA,NA,NA,NA,NA,NA
202001091000,NA,NA,NA,NA,NA,NA,NA
202001091030,NA,NA,NA,NA,NA,NA,NA
202001091100,NA,NA,NA,NA,NA,NA,NA
202001091130,NA,NA,NA,NA,NA,NA,NA
202001091200,NA,NA,NA,NA,NA,NA,NA
202001091230,NA,NA,NA,NA,NA,NA,NA
202001091300,NA,NA,NA,NA,NA,NA,NA
202001091330,NA,NA,NA,NA,NA,NA,NA
202001091400,NA,NA,NA,NA,NA,NA,NA
202001091430,NA,NA,NA,NA,NA,NA,NA
202001091500,NA,NA,NA,NA,NA,NA,NA
202001091530,NA,NA,NA,NA,NA,NA,NA
202001091600,NA,NA,NA,NA,NA,NA,NA
202001091630,NA,-42.1463,9.95082,208.646,100596,NA,NA
202001091700,NA,-48.6518,7.97587,210.005,100618,NA,NA
202001091730,NA,-33.4954,6.79717,220.294,100629,NA,NA
