"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001051730,NA,NA,NA,NA,NA,NA,NA
202001051800,NA,NA,NA,NA,NA,NA,NA
202001051830,NA,NA,NA,NA,NA,NA,NA
202001051900,NA,NA,NA,NA,NA,NA,NA
202001051930,NA,NA,NA,NA,NA,NA,NA
202001052000,NA,NA,NA,NA,NA,NA,NA
202001052030,NA,NA,NA,NA,NA,NA,NA
202001052100,NA,NA,NA,NA,NA,NA,NA
202001052130,NA,NA,NA,NA,NA,NA,NA
202001052200,NA,NA,NA,NA,NA,NA,NA
202001052230,NA,NA,NA,NA,NA,NA,NA
202001052300,NA,NA,NA,NA,NA,NA,NA
202001052330,NA,NA,NA,NA,NA,NA,NA
202001060000,NA,NA,NA,NA,NA,NA,NA
202001060030,NA,NA,NA,NA,NA,NA,NA
202001060100,NA,NA,NA,NA,NA,NA,NA
202001060130,NA,NA,NA,NA,NA,NA,NA
202001060200,NA,NA,NA,NA,NA,NA,NA
202001060230,NA,NA,NA,NA,NA,NA,NA
202001060300,NA,NA,NA,NA,NA,NA,NA
202001060330,NA,NA,NA,NA,NA,NA,NA
202001060400,NA,NA,NA,NA,NA,NA,NA
202001060430,NA,NA,NA,NA,NA,NA,NA
202001060500,NA,NA,NA,NA,NA,NA,NA
202001060530,NA,NA,NA,NA,NA,NA,NA
202001060600,NA,NA,NA,NA,NA,NA,NA
202001060630,NA,NA,NA,NA,NA,NA,NA
202001060700,NA,NA,6.23299,245.939,101275,NA,NA
202001060730,NA,NA,6.61738,246.545,101275,NA,NA
202001060800,NA,NA,NA,NA,NA,NA,NA
202001060830,NA,NA,NA,NA,NA,NA,NA
202001060900,NA,NA,6.23702,242.721,101275,NA,NA
202001060930,NA,NA,6.71746,244.552,101275,NA,NA
202001061000,NA,NA,NA,NA,NA,NA,NA
202001061030,NA,NA,NA,NA,NA,NA,NA
202001061100,NA,NA,NA,NA,NA,NA,NA
202001061130,NA,NA,8.24325,247.083,101275,NA,NA
202001061200,NA,NA,NA,NA,NA,NA,NA
202001061230,NA,NA,NA,NA,NA,NA,NA
202001061300,NA,NA,NA,NA,NA,NA,NA
202001061330,NA,NA,6.15367,236.559,101275,NA,NA
202001061400,NA,NA,6.52624,231.337,101275,NA,NA
202001061430,NA,NA,6.55224,223.383,101275,NA,NA
202001061500,NA,NA,6.8517,215.79,101275,NA,NA
202001061530,NA,NA,6.81571,217.36,101275,NA,NA
202001061600,NA,NA,6.80654,212.08,101275,NA,NA
202001061630,NA,NA,7.64107,213.042,101275,NA,NA
202001061700,NA,NA,7.51236,216.546,101275,NA,NA
202001061730,NA,NA,7.18756,219.053,101275,NA,NA
202001061800,NA,NA,7.20304,228.274,101275,NA,NA
202001061830,NA,NA,7.83023,227.787,101275,NA,NA
202001061900,NA,NA,NA,NA,NA,NA,NA
202001061930,NA,NA,NA,NA,NA,NA,NA
